Site Name,Site ID,Sample Date,Lab Sample ID,Time Collected,Time Delivered To Lab,Duplicate,Wet Weather?,Within holding time(6 hrs)?,Preservation temperature (deg C),Preservation ~4 deg C,Volume (mL),MPN/100mL Undiluted Sample,Lab,Analyst,Monitoring Org,Comments
Ashuelot River at Hinsdale,01-ASH,6/20/2023,01-ASH,8:07:00,11:43:00,N,Y,Y,4,Y,100,179,EAI Analytical,EAI Analytical,ARLAC,01-ASH
Ashuelot River at Hinsdale,01-ASH,7/25/2023,01-ASH,8:00:00,11:43:00,N,Y,Y,4,Y,100,45,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Hinsdale,01-ASH,8/15/2023,01-ASH,8:00:00,11:43:00,N,Y,Y,4,Y,100,155,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Hinsdale,01-ASH,9/12/2023,01-ASH,8:02:00,11:43:00,N,Y,Y,4,Y,100,101,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Winchester,07-ASH,6/20/2023,07-ASH,9:12:00,11:43:00,N,Y,Y,4,Y,100,111,EAI Analytical,EAI Analytical,ARLAC,07-ASH
Ashuelot River at Winchester,07-ASH,7/25/2023,07-ASH,8:54:00,11:43:00,N,Y,Y,4,Y,100,39,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Winchester,07-ASH,8/15/2023,07-ASH,8:50:00,11:43:00,N,Y,Y,4,Y,100,308,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Winchester,07-ASH,9/12/2023,07-ASH,8:40:00,11:43:00,N,Y,Y,4,Y,100,167,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Thompson Covered Bridge,15A-ASH,6/20/2023,15A-ASH,9:56:00,11:43:00,N,Y,Y,4,Y,100,119,EAI Analytical,EAI Analytical,ARLAC,15A-ASH
Ashuelot River at Thompson Covered Bridge,15A-ASH,7/25/2023,15A-ASH,9:52:00,11:43:00,N,Y,Y,4,Y,100,32,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Thompson Covered Bridge,15A-ASH,8/15/2023,15A-ASH,9:43:00,11:43:00,N,Y,Y,4,Y,100,225,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Thompson Covered Bridge,15A-ASH,9/12/2023,15A-ASH,9:24:00,11:43:00,N,Y,Y,4,Y,100,328,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at the mouth of the South Branch,16A-ASH,6/20/2023,16A-ASH,8:50:00,11:43:00,N,Y,Y,4,Y,100,84,EAI Analytical,EAI Analytical,ARLAC,16A-ASH
Ashuelot River at the mouth of the South Branch,16A-ASH,7/25/2023,16A-ASH,9:26:00,11:43:00,N,Y,Y,4,Y,100,64,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at the mouth of the South Branch,16A-ASH,8/15/2023,16A-ASH,11:07:00,11:43:00,N,Y,Y,4,Y,100,236,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at the mouth of the South Branch,16A-ASH,9/12/2023,16A-ASH,9:17:00,11:43:00,N,Y,Y,4,Y,100,158,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Cresson Bridge,16-ASH,6/20/2023,16-ASH,9:45:00,11:43:00,N,Y,Y,4,Y,100,130,EAI Analytical,EAI Analytical,ARLAC,16-ASH
Ashuelot River at Cresson Bridge,16-ASH,7/25/2023,16-ASH,9:45:00,11:43:00,N,Y,Y,4,Y,100,36,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Cresson Bridge,16-ASH,8/15/2023,16-ASH,10:02:00,11:43:00,N,Y,Y,4,Y,100,236,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Cresson Bridge,16-ASH,9/12/2023,16-ASH,9:40:00,11:43:00,N,Y,Y,4,Y,100,250,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River Upstream of Keene WWTF,16D-ASH,6/20/2023,16D-ASH,9:16:00,11:43:00,N,Y,Y,4,Y,100,172,EAI Analytical,EAI Analytical,ARLAC,16D-ASH
Ashuelot River Upstream of Keene WWTF,16D-ASH,7/25/2023,16D-ASH,8:44:00,11:43:00,N,Y,Y,4,Y,100,41,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River Upstream of Keene WWTF,16D-ASH,8/15/2023,16D-ASH,10:56:00,11:43:00,N,Y,Y,4,Y,100,365,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River Upstream of Keene WWTF,16D-ASH,9/12/2023,16D-ASH,8:50:00,11:43:00,N,Y,Y,4,Y,100,230,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Rte 101,18-ASH,6/20/2023,18-ASH,9:15:00,11:43:00,N,Y,Y,4,Y,100,96,EAI Analytical,EAI Analytical,ARLAC,18-ASH
Ashuelot River at Rte 101,18-ASH,7/25/2023,18-ASH,8:55:00,11:43:00,N,Y,Y,4,Y,100,22,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Rte 101,18-ASH,8/15/2023,18-ASH,8:34:00,11:43:00,N,Y,Y,4,Y,100,770,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Rte 101,18-ASH,9/12/2023,18-ASH,8:35:00,11:43:00,N,Y,Y,4,Y,100,167,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Stone Arch Bridge,20A-ASH,6/20/2023,20A-ASH,8:20:00,11:43:00,N,Y,Y,4,Y,100,35,EAI Analytical,EAI Analytical,ARLAC,20A-ASH
Ashuelot River at Stone Arch Bridge,20A-ASH,7/25/2023,20A-ASH,8:00:00,11:43:00,N,Y,Y,4,Y,100,13,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Stone Arch Bridge,20A-ASH,8/15/2023,20A-ASH,8:15:00,11:43:00,N,Y,Y,4,Y,100,66,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Stone Arch Bridge,20A-ASH,9/12/2023,20A-ASH,7:55:00,11:43:00,N,Y,Y,4,Y,100,649,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Gilsum,23-ASH,6/20/2023,23-ASH,8:05:00,11:43:00,N,Y,Y,4,Y,100,56,EAI Analytical,EAI Analytical,ARLAC,23-ASH
Ashuelot River at Gilsum,23-ASH,7/25/2023,23-ASH,7:58:00,11:43:00,N,Y,Y,4,Y,100,4,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Gilsum,23-ASH,8/15/2023,23-ASH,8:35:00,11:43:00,N,Y,Y,4,Y,100,101,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Gilsum,23-ASH,9/12/2023,23-ASH,8:05:00,11:43:00,N,Y,Y,4,Y,100,231,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Marlow,24A-ASH,6/20/2023,24A-ASH,8:42:00,11:43:00,N,Y,Y,4,Y,100,26,EAI Analytical,EAI Analytical,ARLAC,24A-ASH
Ashuelot River at Marlow,24A-ASH,7/25/2023,24A-ASH,8:30:00,11:43:00,N,Y,Y,4,Y,100,51,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Marlow,24A-ASH,8/15/2023,24A-ASH,9:25:00,11:43:00,N,Y,Y,4,Y,100,36,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Marlow,24A-ASH,9/12/2023,24A-ASH,8:59:00,11:43:00,N,Y,Y,4,Y,100,139,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Mountain Rd,27-ASH,6/20/2023,27-ASH,9:42:00,11:43:00,N,Y,Y,4,Y,100,10,EAI Analytical,EAI Analytical,ARLAC,27-ASH
Ashuelot River at Mountain Rd,27-ASH,7/25/2023,27-ASH,8:56:00,11:43:00,N,Y,Y,4,Y,100,5,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Mountain Rd,27-ASH,8/15/2023,27-ASH,10:05:00,11:43:00,N,Y,Y,4,Y,100,9,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Mountain Rd,27-ASH,9/12/2023,27-ASH,9:33:00,11:43:00,N,Y,Y,4,Y,100,135,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Pillsbury,28-ASH,6/20/2023,28-ASH,10:14:00,11:43:00,N,Y,Y,4,Y,100,11,EAI Analytical,EAI Analytical,ARLAC,28-ASH
Ashuelot River at Pillsbury,28-ASH,7/25/2023,28-ASH,9:34:00,11:43:00,N,Y,Y,4,Y,100,33,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Pillsbury,28-ASH,8/15/2023,28-ASH,10:30:00,11:43:00,N,Y,Y,4,Y,100,125,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River at Pillsbury,28-ASH,9/12/2023,28-ASH,10:03:00,11:43:00,N,Y,Y,4,Y,100,4,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River (South Branch) at Rte 32,2-SBA,6/20/2023,2-SBA,10:17:00,11:43:00,N,Y,Y,4,Y,100,77,EAI Analytical,EAI Analytical,ARLAC,2-SBA
Ashuelot River (South Branch) at Rte 32,2-SBA,7/25/2023,2-SBA,9:26:00,11:43:00,N,Y,Y,4,Y,100,81,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River (South Branch) at Rte 32,2-SBA,8/15/2023,2-SBA,9:30:00,11:43:00,N,Y,Y,4,Y,100,326,EAI Analytical,EAI Analytical,ARLAC,
Ashuelot River (South Branch) at Rte 32,2-SBA,9/12/2023,2-SBA,9:05:00,11:43:00,N,Y,Y,4,Y,100,135,EAI Analytical,EAI Analytical,ARLAC,
Barbour Brook,BA-73,6/13/2023,2023-1001,10:50:00,14:20:00,N,Y,Y,NA,NA,100,387.3,FRWA,CK,FRWA,
Barbour Brook,BA-73,7/18/2023,2023-1121,9:40:00,13:59:00,N,Y,Y,2,Y,100,201.4,FRWA IdexxColil,OB CR,FRWA,
Barbour Brook,BA-73,8/1/2023,2023-1001,9:40:00,13:15:00,N,Y,Y,1.8,Y,100,81.3,FRWA IdexxColil,EM CR,FRWA,
Barbour Brook,BA-73,8/15/2023,2023-1093,9:40:00,13:04:00,N,Y,Y,1.3,Y,100,>2419.6,FRWA IdexxColil,OB CR,FRWA,
Barbour Brook,BA-73,9/6/2023,2023-1146,9:38:00,13:30:00,N,N,Y,0.4,Y,100,103.9,FRWA IdexxColil,PV CK,FRWA,
Bunnell Brook,BB-B1,6/12/2023,2023-2015,10:12:00,13:20:00,N,Y,Y,NA,NA,100,1,FRWA,CR LH,FRWA,
Bunnell Brook,BB-B1,6/26/2023,2023-2048,10:56:00,13:52:00,N,Y,Y,0.3,Y,100,17.2,FRWA IdexxColil,LH OB,FRWA,
Bunnell Brook,BB-B1,7/24/2023,2023-2081,8:35:00,12:24:00,N,N,Y,1,Y,100,39.3,FRWA IdexxColil,OB CR,FRWA,
Bunnell Brook,BB-B1,8/7/2023,2023-2138,10:16:00,13:04:00,N,N,Y,1.2,Y,100,1119.9,FRWA IdexxColil,OB CR,FRWA,
Bunnell Brook,BB-B1,8/21/2023,2023-2171,9:42:00,14:05:00,N,N,Y,0.3,Y,100,14.8,FRWA IdexxColil,CK LH,FRWA,
Benton Brook,Bent-526,6/6/2023,2023-006,10:35:00,13:29:00,N,N,Y,NA,NA,100,1,FRWA,"LH, OB",FRWA,
Benton Brook,Bent-526,7/11/2023,2023-051,10:57:00,13:35:00,N,Y,Y,2,Y,100,365.4,FRWA IdexxColil,OB CR,FRWA,
Benton Brook,Bent-526,7/25/2023,2023-073,10:49:00,13:58:00,N,N,Y,1.1,Y,100,4,FRWA IdexxColil,OB CR,FRWA,
Benton Brook,Bent-526,8/8/2023,2023-095,10:32:00,13:17:00,N,Y,Y,1.9,Y,100,2,FRWA IdexxColil,OB CR,FRWA,
Benton Brook,Bent-526,8/22/2023,2023-117,10:42:00,14:05:00,N,N,Y,1.4,Y,100,7.4,FRWA IdexxColil,LH CK,FRWA,
Beaver Lake-East,BLEB1,6/22/2023,23-06-30,7:19:00,10:35:00,N,N,Y,7.7,N,100,2,CRC Lab,Langley,C4RC,0
Beaver Lake-East,BLEB1,7/20/2023,23-13-26,7:03:00,10:45:00,N,Y,Y,6.8,N,100,13.2,CRC Lab,Langley,C4RC,0
Beaver Lake-East,BLEB1,8/24/2023,23-23-25,6:55:00,11:00:00,N,N,Y,6,N,100,2,CRC Lab,Alden Dumas,C4RC,0
Beaver Lake-South,BLSB1,6/22/2023,23-06-33,7:28:00,10:35:00,N,N,Y,8.4,N,100,1,CRC Lab,Langley,C4RC,0
Beaver Lake-South,BLSB1,7/20/2023,23-13-24,7:11:00,10:45:00,N,Y,Y,7.4,N,100,26.5,CRC Lab,Langley,C4RC,0
Beaver Lake-South,BLSB1,8/24/2023,23-23-26,7:02:00,11:00:00,N,N,Y,6.2,N,100,5.2,CRC Lab,Alden Dumas,C4RC,0
Beaver Lake-West,BLWB1,6/22/2023,23-06-29,7:09:00,10:35:00,N,N,Y,8.2,N,100,5.2,CRC Lab,Langley,C4RC,0
